station_name=N 6 St & Bedford Ave; pagerank=17.59
station_name=1 Ave & E 78 St; pagerank=15.67
station_name=Fulton St & Adams St; pagerank=15.38
station_name=E 11 St & 1 Ave; pagerank=15.11
station_name=Howard St & Centre St; pagerank=15.06
station_name=Suffolk St & Stanton St; pagerank=14.23
station_name=Vesey Pl & River Terrace; pagerank=13.77
station_name=Clinton Ave & Myrtle Ave; pagerank=13.72
station_name=1 Ave & E 18 St; pagerank=13.68
station_name=Lispenard St & Broadway; pagerank=13.51
station_name=E 59 St & Madison Ave; pagerank=13.22
station_name=E 23 St & 1 Ave; pagerank=13.07
station_name=E 51 St & Lexington Ave; pagerank=12.76
station_name=W 15 St & 10 Ave; pagerank=12.5
station_name=Vernon Blvd & 50 Ave; pagerank=12.29
station_name=W 43 St & 10 Ave; pagerank=11.79
station_name=Bank St & Hudson St; pagerank=11.72
station_name=Murray St & West St; pagerank=11.55
station_name=E 81 St & York Ave; pagerank=11.28
station_name=W 64 St & Thelonious Monk Circle; pagerank=10.58
station_name=E 2 St & Avenue C; pagerank=10.48
station_name=3 St & 7 Ave; pagerank=10.44
station_name=Riverside Dr & W 82 St; pagerank=10.21
station_name=Classon Ave & St Marks Ave; pagerank=10.2
station_name=Underhill Ave & Pacific St; pagerank=10.18
station_name=Broad St & Bridge St; pagerank=9.92
station_name=Broadway & Battery Pl; pagerank=1.07
station_name=Allen St & Rivington St; pagerank=1.03
station_name=Lafayette St & Jersey St; pagerank=1.03
station_name=W Broadway & Spring Street; pagerank=1.02
station_name=Allen St & Stanton St; pagerank=1.0
station_name=E 17 St & Broadway; pagerank=0.99
station_name=E 39 St & 3 Ave; pagerank=0.99
station_name=Mott St & Prince St; pagerank=0.99
station_name=Pershing Square North; pagerank=0.99
station_name=Christopher St & Greenwich St; pagerank=0.98
station_name=E 6 St & Avenue B; pagerank=0.98
station_name=Grand St & Elizabeth St; pagerank=0.98
station_name=Greenwich St & W Houston St; pagerank=0.98
station_name=Jay St & York St; pagerank=0.97
station_name=Kent Ave & N 7 St; pagerank=0.97
station_name=S 3 St & Bedford Ave; pagerank=0.97
station_name=Allen St & Hester St; pagerank=0.96
station_name=S 5 Pl & S 5 St; pagerank=0.96
station_name=Forsyth St & Canal St; pagerank=0.95
station_name=Fulton St & Broadway; pagerank=0.95
station_name=Great Jones St; pagerank=0.95
station_name=Old Slip & Front St; pagerank=0.95
station_name=Rivington St & Chrystie St; pagerank=0.95
station_name=8 Ave & W 31 St; pagerank=0.94
station_name=Barrow St & Hudson St; pagerank=0.94
station_name=Broadway & E 22 St; pagerank=0.94
station_name=E 10 St & Avenue A; pagerank=0.94
station_name=E 12 St & 3 Ave; pagerank=0.94
station_name=E 33 St & 1 Ave; pagerank=0.94
station_name=S 4 St & Wythe Ave; pagerank=0.94
station_name=Stanton St & Chrystie St; pagerank=0.94
station_name=W 20 St & 11 Ave; pagerank=0.94
station_name=Washington St & Gansevoort St; pagerank=0.94
station_name=West St & Chambers St; pagerank=0.94
station_name=Wythe Ave & Metropolitan Ave; pagerank=0.94
station_name=Forsyth St & Broome St; pagerank=0.92
station_name=John St & William St; pagerank=0.92
station_name=Murray St & Greenwich St; pagerank=0.92
station_name=1 Ave & E 44 St; pagerank=0.91
station_name=Barclay St & Church St; pagerank=0.91
station_name=Cleveland Pl & Spring St; pagerank=0.91
station_name=E 31 St & 3 Ave; pagerank=0.91
station_name=E 39 St & 2 Ave; pagerank=0.91
station_name=E 4 St & 2 Ave; pagerank=0.91
station_name=Front St & Maiden Ln; pagerank=0.91
station_name=Front St & Washington St; pagerank=0.91
station_name=Liberty St & Broadway; pagerank=0.91
station_name=MacDougal St & Washington Sq; pagerank=0.91
station_name=St Marks Pl & 1 Ave; pagerank=0.91
station_name=St Marks Pl & 2 Ave; pagerank=0.91
station_name=Sullivan St & Washington Sq; pagerank=0.91
station_name=University Pl & E 14 St; pagerank=0.91
station_name=W 45 St & 6 Ave; pagerank=0.91
station_name=8 Ave & W 33 St; pagerank=0.9
station_name=Broadway & E 14 St; pagerank=0.9
station_name=Broadway & W 25 St; pagerank=0.9
station_name=Carmine St & 6 Ave; pagerank=0.9
station_name=Cooper Square & Astor Pl; pagerank=0.9
station_name=E 13 St & Avenue A; pagerank=0.9
station_name=E 15 St & 3 Ave; pagerank=0.9
station_name=E 2 St & 2 Ave; pagerank=0.9
station_name=E 20 St & Park Ave; pagerank=0.9
station_name=Franklin St & W Broadway; pagerank=0.9
station_name=Jay St & Tech Pl; pagerank=0.9
station_name=Lexington Ave & E 29 St; pagerank=0.9
station_name=MacDougal St & Prince St; pagerank=0.9
station_name=Washington Pl & 6 Ave; pagerank=0.9
station_name=Centre St & Chambers St; pagerank=0.89
station_name=E 2 St & Avenue B; pagerank=0.88
station_name=E 25 St & 2 Ave; pagerank=0.88
station_name=E 58 St & 3 Ave; pagerank=0.88
station_name=E 7 St & Avenue A; pagerank=0.88
station_name=Little West St & 1 Pl; pagerank=0.88
station_name=Park Pl & Church St; pagerank=0.88
station_name=Pearl St & Hanover Square; pagerank=0.88
station_name=W 37 St & 5 Ave; pagerank=0.88
station_name=1 Ave & E 68 St; pagerank=0.87
station_name=6 Ave & Canal St; pagerank=0.87
station_name=Berry St & N 8 St; pagerank=0.87
station_name=Broadway & W 38 St; pagerank=0.87
station_name=Broadway & W 41 St; pagerank=0.87
station_name=E 19 St & 3 Ave; pagerank=0.87
station_name=E 2 St & Avenue A; pagerank=0.87
station_name=E 47 St & Park Ave; pagerank=0.87
station_name=E 48 St & 5 Ave; pagerank=0.87
station_name=Leonard St & Church St; pagerank=0.87
station_name=Stanton St & Norfolk St; pagerank=0.87
station_name=W 15 St & 7 Ave; pagerank=0.87
station_name=William St & Pine St; pagerank=0.87
station_name=12 Ave & W 40 St; pagerank=0.86
station_name=9 Ave & W 28 St; pagerank=0.86
station_name=Broadway & W 29 St; pagerank=0.86
station_name=Broadway & W 37 St; pagerank=0.86
station_name=E 11 St & 2 Ave; pagerank=0.86
station_name=E 16 St & 5 Ave; pagerank=0.86
station_name=E 16 St & Irving Pl; pagerank=0.86
station_name=E 32 St & Park Ave; pagerank=0.86
station_name=Gansevoort St & Hudson St; pagerank=0.86
station_name=LaGuardia Pl & W 3 St; pagerank=0.86
station_name=Lexington Ave & E 36 St; pagerank=0.86
station_name=Mercer St & Spring St; pagerank=0.86
station_name=Pier 40 - Hudson River Park; pagerank=0.86
station_name=South St & Whitehall St; pagerank=0.86
station_name=W 11 St & 6 Ave; pagerank=0.86
station_name=W 13 St & 5 Ave; pagerank=0.86
station_name=W 18 St & 6 Ave; pagerank=0.86
station_name=W 21 St & 6 Ave; pagerank=0.86
station_name=W 22 St & 8 Ave; pagerank=0.86
station_name=W 26 St & 8 Ave; pagerank=0.86
station_name=W 27 St & 7 Ave; pagerank=0.86
